id,priority,community,district,area_sqm,rooms,list_price_wan,notes,url,status,first_seen,last_checked,ask_price_wan,target_price_wan,decision
A1,P0,阳光棕榈园,南山前海,105.04,3室2厅,650,满五近地铁北向需验采光噪音,https://m.fang.com/esf/sz_xm2810017978/,待核验,2026-08-08,2026-08-08,,620-640,待看
A2,P0,阳光棕榈园一期,南山前海,100.92,3室2厅西南,680,西南向总价落带,https://m.fang.com/esf/sz_xm2810017978/,待核验,2026-08-08,2026-08-08,,650-665,待看
A3,P0,阳光棕榈园,南山前海,115.57,3室2厅2卫,680,面积更大带娃友好核验底价,https://m.anjuke.com/sz/sale/S4234131504635904/,待核验,2026-08-08,2026-08-08,,650-670,待看
A4,P0,阳光棕榈园一期,南山前海,101.18,3室2厅东南,688,接近上限仅户型更好时看,https://m.fang.com/esf/sz_xm2810017978/,待核验,2026-08-08,2026-08-08,,660-675,待看
A5,P0,前海港湾花园,南山前海,88.93,3室2厅东南,650-668,次新电梯面积偏紧,https://m.fang.com/esf/sz_xm2810876908/,待核验,2026-08-08,2026-08-08,,630-650,待看
A6,P0,前海港湾花园,南山前海,86.43-87.45,3室,650-670,逐套比得房率噪音,https://m.fang.com/esf/sz_xm2810876908/,待核验,2026-08-08,2026-08-08,,630-655,待看
A7,P0,前海港湾花园,南山前海,81-82,3室,580-645,可分间则可作降贷备选,https://m.fang.com/esf/sz_xm2810876908/,待核验,2026-08-08,2026-08-08,,560-620,待看
B1,P1,前海花园三期,南山前海,90.51,3室1卫,528,低价锚先核真伪楼层税费,https://shenzhen.anjuke.com/prop/view/S4497766543858702,待核验,2026-08-08,2026-08-08,,500-520,待看
B2,P1,星海名城一期,南山前海,103.72,3室2卫,588,满五面积够楼龄2000重点验,https://shenzhen.anjuke.com/prop/view/S4120940530916367,待核验,2026-08-08,2026-08-08,,560-575,待看
B3,P1,星海名城一期,南山前海,90.6,3室,508-510,低价可能有硬伤,https://m.anjuke.com/sz/sale/S4060692453125127/,待核验,2026-08-08,2026-08-08,,480-500,待看
C1,P2,勤诚达22世纪一期,宝安新安,89.48,3室2卫,718,超预算仅急售可谈至700,https://m.anjuke.com/sz/sale/S4132497777990659/,观望,2026-08-08,2026-08-08,,680-700,观望
D1,P1,深云村,南山深云,69.97,3室2厅,598,进预算小三房需验红本与通勤,https://wap.leyoujia.com/shenzhen/xq/detail/12095.html,待核验,2026-08-08,2026-08-08,,560-590,待看
D2,P2,深云村,南山深云,90.68,3室2厅,768,超预算除非砍至700以内,https://wap.leyoujia.com/shenzhen/xq/detail/12095.html,观望,2026-08-08,2026-08-08,,700,观望
D3,P2,深云村,南山深云,90,3室2厅1卫,760,满五唯一精装超预算,https://wap.leyoujia.com/shenzhen/esf/detail/7zFKb2sjZz2QXLS6Hnb69W.html,观望,2026-08-08,2026-08-08,,700,观望
